;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
WELCOME_TEXT;ÔÚÓÎÏ·ÖĞ,Äã¿ÉÒÔ°çÑİÈÎºÎÊ±ÆÚµÄÖĞÊÀ¼Í¾ıÖ÷, ÏÂÖÁ²®¾ô,ÉÏÖÁµÛÍõ. µ±ÄãµÄ½ÇÉ«È¥ÊÀÊ±, ÄãĞèÒªÓĞÒ»¸ö¼Ì³ĞÈË½ÓÈÎ, Èç´ËÁ÷´«,¾­¾Ã²»¶Ï. ÓëÆäËûÓÎÏ·²»Í¬, ¿ªÊ¼µÄ×´¿öÊÇ·ûºÏÊ·ÊµµÄ,Ò²¾ÍÊÇËµÍêÈ«Ã»ÓĞÆ½ºâÒ»Ëµ. ²é¿´¹ÀËãÄÑ¶ÈÔÙÑ¡Ôñ¾ıÖ÷½øÈëÓÎÏ·!;En jeu, vous pouvez jouer le rôle de n'importe quel souverain médiéval ?n'importe quelle période, du petit comte jusqu'au grand empereur. Lorsque votre personnage meurt, votre héritier prend la relève, et ainsi de suite ?travers les âges. ?la différence des autres jeux, le contexte de départ est historique, et donc totalement déséquilibr? Pensez ?vérifier la difficult?associée ?un souverain avant de l'incarner?;Im Spiel könnt Ihr jeden mittelalterlichen Herrscher zu jedem beliebigen Zeitpunkt auswählen, vom einfachen Grafen bis zum großen Kaiser. Jedes Mal, wenn Eure Spielfigur stirbt, benötigt Ihr einen Erben, der Euer Erbe weiterführt, und so schreitet Ihr fort durch die Zeitalter. Anders als bei anderen Spielen ist die Ausgangssituation historisch und damit absolut unausgewogen. Beachtet vor dem Start eines neuen Spiels die Einschätzung des Schwierigkeitsgrad des Herrschers, den Ihr auswählen möchtet!;;En el juego, puedes jugar como gobernante medieval de cualquier época, ya sea como modesto conde o como gran emperador. Cuando muera tu personaje, precisarás un heredero que tome el poder, y as?sucesivamente a lo largo del tiempo. A diferencia de la mayoría de juegos, la situación inicial es histórica, por lo tanto totalmente desequilibrada. ¡Comprueba la estimación de dificultad de un gobernante antes de empezar a jugar!;;;;;;;;;x
tribal_duke;´óÇõ³¤;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
tribal_duke_female;Å®´óÇõ³¤;Grande cheftaine;Großhäuptling;;Alto mandataria;;;;;;;;;x
tribal_duchy_of;´óÇõ°î;Grande chefferie de;Großhäuptlingstum von;;Grande chefferie de;;;;;;;;;x
tribal_duchy_of_norse;ÑÅ¶û¹ú;Duch?de;Jarltum von;;Jarldom de;;;;;;;;;x
tribal_count_west_african;·¨ÁÖ;Farin;Farin;;Farin;;;;;;;;;x
tribal_count_female_west_african;·¨ÁÖÄÈ;Farina;Farina;;Farina;;;;;;;;;x
tribal_county_of_west_african;Ğ»ºÕÁì;Cheikat de;Scheichtum von;;Cheikat de;;;;;;;;;x
tribal_county_west_african;Ğ»ºÕÁì;Cheikat;Scheichtum;;Cheikat;;;;;;;;;x
tribal_duke_west_african;·¨°ÍË¹;Farbas;Farbas;;Farbas;;;;;;;;;x
tribal_duke_female_west_african;·¨°Í;Farba;Farba;;Farba;;;;;;;;;x
tribal_duchy_of_west_african;°£Ã×¶û¹ú;Émirat de;Emirat von;;Emirato de;;;;;;;;;x
tribal_duchy_west_african;°£Ã×¶û¹ú;Émirat;Emirat;;Emirato;;;;;;;;;x
tribal_king_west_african;ÂüÈø;Mansa;Mansa;;Mansa;;;;;;;;;x
tribal_king_female_west_african;ËÕµ¤ÄÈ;Sultane;Sultanin;;Sultane;;;;;;;;;x
tribal_kingdom_of_west_african;ËÕµ¤¹ú;Sultanat de;Sultanat von;;Sultanat de;;;;;;;;;x
tribal_kingdom_west_african;ËÕµ¤¹ú;Sultanat;Sultanat;;Sultanat;;;;;;;;;x
tribal_baron_mongol;Ì«Ê¦;Taishi;Taishi;;Taishi;;;;;;;;;x
tribal_barony_of_mongol;Ì«Ê¦;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
EVTDESC_CM_11;ÔÚÒÔÇ°µÄË¹À­·ò´«Í³»ù´¡ÉÏ£¬ [Root.GetName] µÄÈËÃñÎüÊÕÁËÔ¶·½µÄĞÂÏ°Ë×¡£ËûÃÇÏÖÔÚ×Ô³Æ¡°ÂŞË¹ÈË¡±»ò¡°¶íÂŞË¹ÈË¡±¡£;Le peuple du comt?de [Root.GetName] a intégr?de nouvelles coutumes venues de l'étranger et les combine avec d'anciennes traditions slaves. Ils se font désormais appeler 'Rus', ou 'Russes'.;Das Volk in der Provinz [Root.GetName] hat neue, fremde Gebräuche von weither übernommen und sie mit der slawischen Kultur verschmolzen. Sie bezeichnen sich nun als 'Rus' bzw. 'Russen'.;;La gente de la provincia de [Root.GetName] ha asimilado nuevas costumbres que vienen de lejos y las han mezclado con las viejas tradiciones eslavas. Ahora se nombran a s?mismos "rus" o "rusos".;;;;;;;;;x
EVTOPTA_CM_11;²¢·ÇÈ«ĞÂ.;Rien de vraiment nouveau, en somme.;Neu, aber nicht ohne Ähnlichkeiten.;;Nuevo, pero aún reconocible.;;;;;;;;;x
convert_to_russian;Óµ±§¶íÂŞË¹ÎÄ»¯.;Adopter la culture russe;Nehmt die russische Kultur an;;Abrazar la cultura rusa;;;;;;;;;x
convert_to_russian_desc;ÎÒÃÇ×ÓÃñÖĞµÄĞí¶àÈË½ÓÄÉÁËÍâ¹úÈË´øÀ´µÄ´«Í³,ÈÚÈë±¾µØµÄ·ç. Ò²ĞíÎÒÃÇÒ²Ó¦¸ÃÕâÑù×ö..;Plusieurs de nos sujets ont adopt?de nouvelles traditions apportées par des étrangers, les intégrant aux coutumes locales. Peut-être devrions-nous faire de même...;Viele Untertanen übernehmen die Gebräuche und Traditionen der Fremden und vermischen sie mit der lokalen Kultur. Vielleicht sollten wir dasselbe tun ?;Muchos de nuestros súbditos están adoptando nuevas costumbres y tradiciones traídas por extranjeros y las integran con las costumbres locales. Quiz?deberíamos hacer lo mismo...;;;;;;;;;x
EVTDESC_CM_2102;Äã³¤¾ÃÒÔÀ´ÔÚ³Ç±¤ÄÚÕÕÁÏÕşÊÂÍâ½»,ĞÄÁ¦½»´á.Óë´ËÍ¬Ê±, [From.GetTitledFirstName] ²»¶ÏµÄËßËµ×ÅÔÚÄã÷âÏÂÊ±µÄ¸÷ÖÖÆæÃîÂÃÍ¾. Ò²ĞíÏÂ´ÎËûÀ´ÁËÎÒ¿ÉÒÔ¸úËûÒ»ÆğÈ¥×ß×ß..;Vous vous lassez de passer tant de temps au château ?mener ?bien de fastidieuses tâches gouvernementales et diplomatiques. Pendant ce temps, [From.GetTitledFirstName] vous parle sans cesse de toutes ses aventures palpitantes. Peut-être pourriez-vous l'accompagner lors de sa prochaine expédition...;Die ermüdenden Aufgaben der Diplomatie und die Regierungsgeschäfte bereiten Euch keine Freude mehr. [From.GetTitledFirstName] hingegen spricht immerzu von den interessanten Abenteuern, die er in Euren Diensten erlebt. Vielleicht solltet Ihr ihn das nächste Mal begleiten ...;;Te has hartado de pasar tanto tiempo en tu castillo llevando a cabo aburridas tareas de gobierno y diplomacia. Mientras tanto, [From.GetTitledFirstName] sigue contándote las interesantes aventuras que vive estando a tu servicio. Quiz?podrías unirte a él en su próxima salida...;;;;;;;;;x
EVTOPTA_CM_2102;¶Ô,¾ÍÕâÃ´¶¨ÁË!;Oui, bonne idée?;Ja, das werde ich wohl tun!;;S? creo que lo har?;;;;;;;;;x
EVTOPTB_CM_2102;²»,×÷Îª [Root.GetTitle]µÄÔğÈÎ²»¿ÉĞ¸µ¡.;Non, je dois remplir mes fonctions de [Root.GetTitle].;Nein, ich muss meine Pflichten als [Root.GetTitle] erfüllen.;; No, tengo que ocuparme con mis deberes como[Root.GetTitle];;;;;;;;;x
EVTDESC_CM_2104;ÔÚÒ»¸öÃÀÃîµÄÔç³¿,ÄãÍ¬ [From.GetTitledFirstNameWithNick]Ò»Í¬ÆïĞĞ, Ã»ÓĞ´øÈÎºÎ»¤ÎÀ²¢Éí×Å±ã·ş. ÕâÊÇ³¡Óë³¯Í¢µ¥µ÷Éú»î²»Í¬µÄÌåÑé. Äã¸Ğµ½[From.GetTitledFirstName] ¿´ÆğÀ´¶àÒÉ, µ«×ÔĞÅÕâ»áÊÇ³¡Óä¿ìµÄÂÃÍ¾.;Vous chevauchez un beau matin en compagnie de [From.GetTitledFirstNameWithNick], sans escorte, vêtu d'habits confortables plutôt que de votre tenue de souverain. Vous appréciez le changement par rapport ?la vie de cour. Vous remarquez [From.GetTitledFirstName] qui vous jette un regard sceptique, mais vous sentez que ce sera une belle journée.;An einem schönen Morgen reitet Ihr in Begleitung von [From.GetTitledFirstNameWithNick] aus, ohne Eskorte und in schlichter, praktischer Garderobe. Dies wird eine schöne Abwechslung von der Montonie Eures Hofes sein. Zwar wirft Euch [From.GetTitledFirstName] einen skeptischen Blick zu, doch Ihr seid Euch sicher, dass es ein schöner Ausflug werden wird.;;Una buena mañana sales en compañía de [From.GetTitledFirstNameWithNick], no lleváis escolta y vuestras vestimentas son más bien prácticas en vez de majestuosas. Esto s?va a ser romper la monotonía de la corte. Tomas el [From.GetTitledFirstName] lo que te da una imagen escéptica, pero estás convencido de que ser?un buen viaje.;;;;;;;;;x
EVTOPTA_CM_2104;²»»áÓĞÎÊÌâµÄÀ².;Que pourrait-il arriver de mal?;Was soll schon passieren?;;¿Qu?puede fallar?;;;;;;;;;x
d_yatviags;Ô¼ÌØÎ¬¶÷¸ñ;Yatvingia;Jatwinger;;Yatvingia;;;;;;;;;x
d_pechenegs;ÅåÇĞÄù¸ñ;Petchénègue;Petschenegen;;Pecheneg;;;;;;;;;x
e_seljuk_turks;ÈûÁğ¹ÅµÛ¹ú;Empire seldjouk;Seldschukenreich;;El Imperio de Seljuk;;;;;;;;;x
action_settle_tribe;¶¨¾Ó²¿Âä;Implanter une tribu;Stamm ansiedeln;;Establezca el Tribu;;;;;;;;;x
action_settle_tribe_desc;Ö¸ÅÉÄãµÄ [GetTreasurerName] ½«²¿Âä°²¶ÙÔÚ²®¾ôÁìÖÚ, Ôö¼Ó±¾µØÎÄ»¯±ä³É §Y[Culture.GetName]§!µÄ¼¸ÂÊ.;Assigner votre [GetTreasurerName] ?l'implantation de membres de votre tribu dans un comt? ce qui augmente les chances que sa culture devienne §Y[Culture.GetName]?.;Beauftragt Euren [GetTreasurerName], Angehörige Eures Stammes in der Grafschaft anzusiedeln, damit die Chance einer Kulturänderung zu §Y[Culture.GetName]? ansteigt.;;Nombrar a tu [GetTreasurerName] para que establezca miembros de tu clan en el país, de modo que aumenten las oportunidades de que su cultura cambie a §Y[Culture.GetName]?.;;;;;;;;;x
EVTNAME925;²¿Âä¶¨¾Ó;Tribu implantée;Stamm angesiedelt;;Tribu Establecido;;;;;;;;;x
EVTDESC925;½«²¿Âä°²¶ÙÔÚ [Root.Location.GetName]µÄÅ¬Á¦Ã»ÓĞ°×·Ñ! ÎÒµÄÁìÖ÷»á¸ßĞËµÄ!;Mes tentatives d'implanter notre tribu en [Root.Location.GetName] ont réussi? M[Root.Liege.GetHerHis] [Root.Liege.GetLordLady] lige sera satisfait[Root.Liege.GetNoneE]?;Meine Bemühungen zur Ansiedelung unseres Stammes in [Root.Location.GetName] waren erfolgreich. Mein Lehnsherr wird erfreut sein!;;¡Mis esfuerzos para establecer nuestra tribu en [Root.Location.GetName] ha surtido efecto! ¡Mi señor feudal estar?satisfecho!;;;;;;;;;x
EVTOPTA925;[Root.Liege.Culture.GetName] µÄÎÄ»¯¸üÓÅÔ½;Les coutumes de la culture [Root.Liege.Culture.GetName] sont supérieures.;Die Lebensweise der [Root.Liege.Culture.GetName] ist die bessere.;;Las maneras de [Root.Liege.Culture.GetName] son superiores;;;;;;;;;x
EVTDESC20205;ÎÒµÄ [Root.GetTreasurerName], [From.GetTitledFirstName], ¼¤¶¯µÄÍ¨ÖªËµ [From.Location.GetName]°²¶ÙÁËĞí¶à [Root.Culture.GetName] ¼ÒÍ¥. ±¾µØÈË×î³õÓĞĞ©µÖÖÆ,µ«ÈÔ½ÓÊÜÁËÎÒÃÇµÄÓïÑÔºÍ·çË×!;Notre [Root.GetTreasurerName], [From.GetTitledFirstName] nous apprend que plusieurs bonnes familles de culture [Root.Culture.GetName] se sont installées ?[From.Location.GetName]. Les autochtones, d'abord réticents, ont commenc??adopter notre langue et nos coutumes?;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] lässt mich wissen, dass [From.Location.GetName] nun von vielen [Root.Culture.GetName] Familien bewohnt wird. Die Einheimischen nehmen nun trotz ihres anfänglichen Widerstandes unsere Sprache und Gebräuche an!;;Mi [Root.GetTreasurerName], [From.GetTitledFirstName], se complace en informar que muchas buenas familias [Root.Culture.GetName] se han establecido en [From.Location.GetName]. ¡La gente del lugar, aunque al principio se mostr?reticente, ya ha empezado a adoptar nuestra lengua y costumbres!;;;;;;;;;x
EVTOPTA20205;[From.GetFirstName] Ò»Èç¼ÈÍùµÄ¿É¿¿.;On peut toujours compter sur [From.GetFirstName].;Auf [From.GetFirstName] ist immer Verlass.;;[From.GetFirstName]siempre es confiable.;;;;;;;;;x
EVTNAME20206;[Root.GetTreasurerName] ÊÜÉË;[Root.GetTreasurerName] bless?[Root.GetTreasurerName] verwundet;;[Root.GetTreasurerName] herido;;;;;;;;;x
EVTDESC20206;[Root.Location.GetName]µÄ±¾µØÈË, ÒòÔ½À´Ô½¶àµÄ[Root.Liege.Culture.GetName] ¶¨¾Ó¸Ğµ½·ßÅ­, ²îµãÉ±ÁËÎÒ! ÎÒÉËµ½ÁË¼ç°òµ«»¹ÊÇÌÓ³öÀ´ÁË.;Les indigènes en [Root.Location.GetName] ne tolèrent pas le nombre croissant de colons de culture [Root.Liege.Culture.GetName]. Ils ont attaqu?ma maison et ont failli me tuer? J'ai ét?bless??l'épaule en défendant ma vie?;Die Einheimischen in [Root.Location.GetName] stürmten mein Haus, weil sie durch die Zunahme der [Root.Liege.Culture.GetName] Siedler aufgebracht waren und hätten mich beinahe umgebracht! Beim Kampf um mein Leben wurde ich an der Schulter verwundet!;;¡La gente local de [Root.Location.GetName], enfurecida por el creciente número de asentamientos?[Root.Liege.Culture.GetName], han asaltado mi casa y casi me matan! ¡Me hirieron el hombro mientras luchaba por mi vida!;;;;;;;;;x
EVTOPTA20206;Ò²²»ÄÜÈ«¹ÖËûÃÇ..;Difficile de les blâmer...;Irgendwie kann ich sie verstehen ...;;No puedo decir que ellos tienen la culpa.;;;;;;;;;x
EVTDESC20207;ÎÒµÄ [Root.GetTreasurerName], [From.GetTitledFirstName], ±»[From.Location.GetName]±¾µØÈËµÖÖÆÍâÀ´¶¨¾ÓÕßµÄ¹ı³ÌÖĞÉËµ½ÁË.;Notre [Root.GetTreasurerName], [From.GetTitledFirstName] a ét?poignard?par les indigènes en [From.Location.GetName], qui s'opposent farouchement ?nos colons?;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] wurde mit einem Messer angegriffen und von den Einheimischen in [From.Location.GetName] verwundet. Der Widerstand gegen unsere Siedler ist beträchtlich.;;Mi [Root.GetTreasurerName], [From.GetTitledFirstName], ha sido apuñalado y herido por la gente de [From.Location.GetName], quienes están oponiendo una resistencia feroz ante nuestros colonos.;;;;;;;;;x
EVTOPTA20207;²¢·ÇÒâÁÏÖ®Íâ..;Il fallait s'y attendre...;Das war zu erwarten ...;;Ya como es de esperar;;;;;;;;;x
action_build_legend;¸èËÌ´«ÆæÊÂ¼£;Faire naître une légende;Zur Legende machen;;Crear Leyenda;;;;;;;;;x
;#action_build_legend_desc;Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors.;;Beauftragt Euren [GetTreasurerName] damit, Euren Namen zur Legende zu machen. So erh?ht sich Euer Prestige und m?glicherweise finden sich sogar kampfeswillige Recken.;; Tu [GetTreasurerName] est¨¢ cimentando tu leyenda entre la gente, aumentando tu Prestigio e incluso posiblemente alimentando a algunos guerreros ansiosos.;;;;;;;;;x;
EVTNAME20208;ÕĞÄ¼ÓÂÊ¿;Des guerriers prêts ?combattre;Krieger ausgehoben;;Guerreros Criados;;;;;;;;;x
EVTDESC20208;ÎÒÔÚ[Root.Liege.GetTitledFirstName]¸èËÌ´«ÆæÊÂ¼£È¡µÃÁË¾Ş´ó³ÉĞ§.Ò»¹ÉÓÂÊ¿Ç°À´ [Root.Location.Capital.GetName]×¼±¸Í¶ÉíÎ°´óÊÂÒµ!;Les tentatives de créer une légende autour de [Root.Liege.GetTitledFirstName] sont couronnées de succès. Des groupes de guerriers convergent vers [Root.Location.Capital.GetName], attirés par le butin et la gloire?;Meine Bemühungen, [Root.Liege.GetTitledFirstName] zur Legende zu machen, waren erfolgreich. In [Root.Location.Capital.GetName] haben sich Gruppen von Kriegern eingefunden. Sie dürsten nach Beute und Ruhm.;;Mi campaña para cimentar la leyenda de [Root.Liege.GetTitledFirstName] ha resultado ser enormemente exitosa. ¡Bandas de guerreros se han reunido en [Root.Location.Capital.GetName] codiciando el botín y la gloria!;;;;;;;;;x
EVTOPTA20208;ÎÒµÄ [Root.Liege.PrimaryTitle.GetRulerTitle] »á¸ßĞËµÄ!;M[Root.Liege.GetHerHis] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera?;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedar?contento!;;;;;;;;;x
EVTDESC20209;ÎÒµÄ[Root.GetTreasurerName], [From.GetTitledFirstName], ¸æËßÎÒ[From.GetPossPronoun] Å¬Á¦Ã»ÓĞ°×·ÑÔÚĞû´«ÎÒµÄ¹¦¼¨ÉÏ!Ò»Ğ¡¹ÉÓÂÊ¿Ç°À´ [Root.Capital.Capital.GetName] ÎªÎÒ×÷Õ½. ÎÒÖ»ĞèÒªÔÚ½üÆÚÌá¹©¸øËûÃÇÕâÑù»ú»á,²»È»ÊÂÇé¾ÍÂé·³ÁË..;Notre [Root.GetTreasurerName], [From.GetTitledFirstName], m'informe que ses efforts pour me rendre gloire rencontrent un franc succès? Une petite armée de guerriers s'est rendu ?[Root.Capital.Capital.GetName], prête ?me servir. Il faudra juste leur trouver quelque chose ?combattre d'ici un an, ou bien ils pourraient causer des problèmes...;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] berichtet, dass [From.GetPossPronoun] Bemühungen, den Ruhm meines Namens und meiner Taten zu ehren, äußerst erfolgreich waren! Eine kleine Armee hat sich in [Root.Capital.Capital.GetName] versammelt und möchte in meine Dienste treten. Nun muss ich ihnen nur noch innerhalb eines Jahres einen Feind präsentieren, sonst sorgen sie für Ärger ...;;¡Mi [Root.GetTreasurerName], [From.GetTitledFirstName], dice que [From.GetPossPronoun] esfuerzos para elogiar mi nombre y mis hazañas han surtido efecto! Un pequeño ejército de guerreros se han congregado en [Root.Capital.Capital.GetName] listos para servirme. Solamente tengo que asegurarme de que tengan a alguien contra quien luchar ?en el plazo de un año- no sea que se conviertan en... conflictivos.;;;;;;;;;x
EVTOPTA20209;ºÜºÃ!;Splendide?;Bestens!;;Espléndido;;;;;;;;;x
EVTDESC20217;ÎÒµÄ [Root.GetTreasurerName]ÕĞÄ¼×¼±¸ºÃÎªÎÒ×÷Õ½µÄÓÂÊ¿¶ÔÎÒºÍÆ½Ö÷ÒåµÄĞĞÎª¸Ğµ½Ê§Íû»Ø¼Ò,¶ª¾¡ÁËÎÒµÄÁ³.;Les guerriers de notre [Root.GetTreasurerName] assemblés pour combattre en mon nom ont perdu leurs illusions face ?mon pacifisme effémin? Ils sont rentrés chez eux le cœur plein d'amertume, et mon honneur en souffre.;Die Krieger, die mein [Root.GetTreasurerName] für mich begeistern konnte, sind enttäuscht über meinen weibischen Pazifismus. Angewidert kehrten sie mir den Rücken und gingen ihrer Wege. Was für eine Blamage für mich!;;Los guerreros que mi [Root.GetTreasurerName] incit?a luchar por mi gloria se han desilusionado a causa de mi afeminado pacifismo y se han vuelto a casa indignados, lo que me ha provocado gran desprestigio.;;;;;;;;;x
EVTOPTA20217;È¥ËûÃÇµÄ!;Qu'ils soient maudits?;Verflucht sollen sie sein!;;¡Malditos sean!;;;;;;;;;x
action_build_zeal;Ğû´«×Ú½Ì¿ñÈÈ;Réveiller la ferveur;Fanatismus fördern;;Construir Celo;;;;;;;;;x
;#action_build_zeal_desc;Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors.;;Beauftragt Euren [GetLordSpiritualName] damit, den religi?sen Eifer in Eurem Volk anzufachen, um so Eure Piet?t zu mehren und m?glicherweise Glaubenskrieger anzuwerben.;;Tu [GetLordSpiritualName] fomenta un fervor religioso entre la gente, aumentando as¨ª tu Devoci¨®n y posiblemente atrayendo algunos guerreros santos.;;;;;;;;;x;
EVTNAME20218;ÕĞÄ¼ò¯ĞÅÕß;Fanatiques ?vos ordres;Zeloten ausgehoben;; Fanaticos Criados;;;;;;;;;x
EVTDESC20218;ÎÒ³É¹¦µÄÔÚ [Root.Location.GetName] µÄÈËÃñÖĞ×¢ÈëÁË×Ú½ÌµÄ¿ñÈÈ. [Root.Liege.Religion.GetRandomGodName]ò¯³ÏµÄÓÂÊ¿ËæÊ±×¼±¸ºÃ¶Ô¿¹Òì½ÌÍ½!;J'ai réussi ?réveiller la ferveur religieuse en [Root.Location.GetName], les gens sont frénétiques. Des guerriers se sont rassemblés au nom de [Root.Liege.Religion.GetRandomGodName] pour éliminer les infidèles?;Es ist mir gelungen, den Fanatismus in [Root.Location.GetName] anzuheizen. Fanatische Krieger haben sich im Namen von [Root.Liege.Religion.GetRandomGodName] versammelt, um allen Ungläubigen den Tod zu bringen!;;Me las he arreglado para incitar hasta la locura el fervor religioso en [Root.Location.GetName]. ¡Los fervientes guerreros se han reunido en nombre de [Root.Liege.Religion.GetRandomGodName] para destruir a los infieles!;;;;;;;;;x
EVTOPTA20218;ÎÒµÄ [Root.Liege.PrimaryTitle.GetRulerTitle] »á¸ßĞËµÄ!;M[Root.Liege.GetHerHis] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera?;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;;Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedara contento;;;;;;;;;x
EVTDESC20219;ÎÒµÄ [Root.GetLordSpiritualName] [From.GetTitledFirstName] ¸æËßÁËÎÒ [From.GetPossPronoun] Å¬Á¦»ñµÃÁË¾Ş´óµÄ³É¹¦£¡ÈËÃÇµÄ×Ú½ÌÈÈÇé±»¹Ä¶¯ÁËÆğÀ´¡£Ò»Ğ¡¶Ó¿ñÈÈµÄÕ½Ê¿ÒÑ¾­¾Û¼¯ÔÚÁË [Root.Capital.Capital.GetName] ×¼±¸ÎªÎÒĞ§Ãü¡£ÏÖÔÚÎÒÖ»ĞèÒªÈ¥ÕÒĞ©Òì½ÌÍ½ÈÃËûÃÇ·¢Ğ¹£¬²»È»ÕâĞ©Ê¿±ø¾Í»áĞË¾¡É¢È¥¡£;Notre [Root.GetLordSpiritualName], [From.GetTitledFirstName], m'informe que ses efforts pour accroître la ferveur religieuse du peuple ont rencontr?un grand succès? Une petite armée de fanatiques se dirige vers [Root.Capital.Capital.GetName] pour me servir. Je vais devoir leur trouver une cible convenable ?attaquer avant qu'ils ne se dispersent.;Mein [Root.GetLordSpiritualName] [From.GetTitledFirstName] berichtet, dass [From.GetPossPronoun] Bemühungen, den Fanatismus anzuheizen, erfolgreich waren! Eine kleine Armee aus Zeloten hat sich in [Root.Capital.Capital.GetName] versammelt und möchte in meine Dienste treten. Nun muss ich nur noch einen Ungläubigen angreifen, ehe sie mir angewidert den Rücken kehren.;;¡Mi [Root.GetLordSpiritualName], [From.GetTitledFirstName], dice que [From.GetPossPronoun] esfuerzos para fomentar el fervor religioso entre la gente han surtido efecto! Un pequeño ejército de fanáticos se han congregado en [Root.Capital.Capital.GetName] listos para servirme. Ahora simplemente tenemos que atacar a algunos infieles antes de que mis nuevos reclutas se vayan indignados.;;;;;;;;;x
EVTOPTA20219;ÔŞÃÀ[Root.Religion.GetRandomGodName]!;Louons [Root.Religion.GetRandomGodName]?;Gelobt sei [Root.Religion.GetRandomGodName]!;;Alabar a[Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC20220;[Root.GetLordSpiritualName]ò¯³ÏµÄÓÂÊ¿Ç°À´Îª [Root.Religion.GetRandomGodName] ×÷Õ½. µ«ÎÒ¾Ü¾ø·¢ÆğÊ¥Õ½µÄĞĞÎªÈÃËûÃÇ±ÉÒÄ,·×·×É¢È¥.ÎÒÔÚÍ¬×ÚÀïµÄÃûÉùÊÜµ½ÁËËğº¦.;Les guerriers saints que mon [Root.GetLordSpiritualName] a attirés pour combattre au nom de [Root.Religion.GetRandomGodName] ont perdu leurs illusions devant mon refus incompréhensible de mener une guerre sainte, et se sont dispersés. Ma piét?en souffre grandement.;Die heiligen Krieger, die mein [Root.GetLordSpiritualName] für den Kampf im Namen von [Root.Religion.GetRandomGodName] angeworben hat, sind aufgrund meiner gottlosen Weigerung, einen heiligen Krieg anzuzetteln, ernüchtert von dannen gezogen. Meiner Pietät hat das sehr geschadet.;;Los guerreros santos que atrajo mi [Root.GetLordSpiritualName] para luchar por [Root.Religion.GetRandomGodName] se han desilusionado por mi impía negativa a luchar en una Guerra Santa y nos han abandonado, lo que daña enormemente nuestra Devoción.;;;;;;;;;x
