;#CODE;ENGLISH;;GERMAN;;SPANISH;;;;;;;;;;
character_owe_favor;此人将会欠你一个 人情?。;Ce personnage vous devra une faveur?.;Dieser Charakter wird Euch einen Gefallen? schuldig sein.;;ste personaje te deber?un Favor?;;;;;;;;;x
EVTDESC_ZE_13625;[From.GetSheHe] 逐渐地长大，我觉得可以在擅长的领域内对 [From.GetFirstName] 进行一些指导。这可能费力不讨好，也是为了 [From.GetFirstName] 的利益作出一些自我牺牲的机会。;Je vois qu'en prenant de l'鈍e, [From.GetFirstName] pourrait mettre ?profit mon expertise dans certains domaines. La t鈉he sera ardue et ingrate, mais c'est ma seule opportunit?de donner de ma personne pour [From.GetFirstName].;Jetzt, da [From.GetSheHe] 鋖ter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung profitieren kann. Dies wird mit harter Arbeit verbunden sein und nicht immer gesch鋞zt werden, doch es ist meine Chance, mich zum Wohle von [From.GetFirstName] aufzuopfern.;;Seg鷑 [From.GetSheHe] crece, veo que [From.GetFirstName] podr韆 aprovechar un poco de gu韆 en algunas de mis 醨eas de experiencia. Requerir?trabajo duro y no siempre ser?apreciado pero esta es mi posibilidad de hacer un sacrificio por [From.GetFirstName].;;;;;;;;;x
EVTDESC_ZE_13620;[From.GetSheHe] 逐渐地长大, 我觉得可以在外交领域内对 [From.GetFirstName] 进行一些指导, 为了 [From.GetHerHis] 的教育, 我能提供什么?;Je vois qu'en prenant de l'鈍e, [From.GetFirstName] pourrait mettre ?profit mon expertise dans certains domaines, comme la diplomatie. C'est l'opportunit?de contribuer ?l'閐ucation de [From.GetFirstName], mais que puis-je lui offrir?;Jetzt, da [From.GetSheHe] 鋖ter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Diplomatie profitieren kann. Dies ist meine Chance, mich f黵 [From.GetHerHis] Erziehung einzusetzen, doch was kann ich bieten?;;Seg鷑 [From.GetSheHe] crece, veo que [From.GetFirstName] podr韆 aprovechar un poco de gu韆  en una de mis 醨eas de experiencia, diplomacia. Esta es mi oportunidad de hacer un esfuerzo por el bien de la educaci髇 [From.GetHerHis] pero, 縬u?puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13621;[From.GetSheHe] 逐渐地长大, 我觉得可以在军事领域内对 [From.GetFirstName] 进行一些指导, 为了 [From.GetHerHis] 的教育, 我能提供什么?;Je vois qu'en prenant de l'鈍e, [From.GetFirstName] pourrait mettre ?profit mon expertise dans certains domaines, comme l'art de la guerre. C'est l'opportunit?de contribuer ?l'閐ucation de [From.GetFirstName], mais que puis-je lui offrir?;Jetzt, da [From.GetSheHe] 鋖ter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Kriegskunst profitieren kann. Dies ist meine Chance, mich f黵 [From.GetHerHis] Erziehung einzusetzen, doch was kann ich bieten?;;Seg鷑 [From.GetSheHe] crece, veo que [From.GetFirstName] podr韆 aprovechar un poco de gu韆 en una de mis 醨eas de experiencia, el arte de la guerra. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educaci髇 pero, 縬u?puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13622;[From.GetSheHe] 逐渐地长大, 我觉得可以在管理领域内对 [From.GetFirstName] 进行一些指导, 为了 [From.GetHerHis] 的教育, 我能提供什么?;Je vois qu'en prenant de l'鈍e, [From.GetFirstName] pourrait mettre ?profit mon expertise dans certains domaines, comme l'intendance. C'est l'opportunit?de contribuer ?l'閐ucation de [From.GetFirstName], mais que puis-je lui offrir?;Jetzt, da [From.GetSheHe] 鋖ter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in F黨rung profitieren kann. Dies ist meine Chance, mich f黵 [From.GetHerHis] Erziehung einzusetzen, doch was kann ich bieten?;;Seg鷑 [From.GetSheHe] crece, veo que [From.GetFirstName] podr韆 aprovechar un poco de gu韆 en una de mis 醨eas de experiencia, gobierno. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educaci髇 pero, 縬u?puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13623;[From.GetSheHe] 逐渐地长大, 我觉得可以在阴谋领域内对 [From.GetFirstName] 进行一些指导, 为了 [From.GetHerHis] 的教育, 我能提供什么?;Je vois qu'en prenant de l'鈍e, [From.GetFirstName] pourrait mettre ?profit mon expertise dans certains domaines, comme l'intrigue. C'est l'opportunit?de contribuer ?l'閐ucation de [From.GetFirstName], mais que puis-je lui offrir?;Jetzt, da [From.GetSheHe] 鋖ter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Intrigen profitieren kann. Dies ist meine Chance, mich f黵 [From.GetHerHis] Erziehung einzusetzen, doch was kann ich bieten?;;Seg鷑 [From.GetSheHe] crece, veo que [From.GetFirstName] podr韆 aprovechar un poco de gu韆  en una de mis 醨eas de experiencia, la intriga. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educaci髇, 縬u?puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13624;[From.GetSheHe] 逐渐地长大, 我觉得可以在学识领域内对 [From.GetFirstName] 进行一些指导, 为了 [From.GetHerHis] 的教育, 我能提供什么?;Je vois qu'en prenant de l'鈍e, [From.GetFirstName] pourrait mettre ?profit mon expertise dans certains domaines, comme l'閞udition. C'est l'opportunit?de contribuer ?l'閐ucation de [From.GetFirstName], mais que puis-je lui offrir?;Jetzt, da [From.GetSheHe] 鋖ter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung im Lernen profitieren kann. Dies ist meine Chance, mich f黵 [From.GetHerHis] Erziehung einzusetzen, doch was kann ich bieten?;;Seg鷑 [From.GetSheHe] crece, veo que [From.GetFirstName] podr韆 aprovechar un poco de gu韆  en una de mis 醨eas de experiencia, aprendizaje. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educaci髇 pero, 縬u?puedo ofrecer;;;;;;;;;x
EVTDESC_ZE_22800;很显然，[Root.Liege.GetTitledFirstName] 的指挥官们有肌肉没头脑，没比暴民强到哪去。另一方面，你恰恰是一个出色的战术家，也是一个好老师！也许你应该提出训练 [Root.Liege.GetFirstName] 的指挥官们，以换取 [Root.Liege.GetHerHis] 的一份人情？;Les commandants de [Root.Liege.GetTitledFirstName] ne sont pour vous que des agitateurs, des tas de muscles sans cervelle. Vous, ?l'inverse, 阾es un tacticien exp閞iment?et un fin professeur? Peut-阾re pourriez-vous entra頽er les commandants de [Root.Liege.GetFirstName] dans l'espoir de gagner sa faveur?;Es ist offensichtlich, dass die Befehlshaber von [Root.Liege.GetTitledFirstName] nichts weiter als Gesindel sind. Nur Muskeln, keine Finesse. Ihr dagegen seid erfahrener Taktiker und eine ausgezeichnete Lehrkraft! Vielleicht solltet Ihr anbieten, die Befehlshaber von [Root.Liege.GetFirstName] zu trainieren, in der Hoffnung auf [Root.Liege.GetHerHis] Gunst?;;Es claro que los comandantes de [Root.Liege.GetTitledFirstName] no son m醩 que gentuza - todo fuerza f韘ica y ninguna delicadeza. T? por el contrario, eres un estratega experimentado  adem醩 un gran maestro! 縏al vez deber韆s ofrecerte formar a los  comandantes de [Root.Liege.GetFirstName] en la esperanza de obtener [Root.Liege.GetHerHis] favor?;;;;;;;;;x
EVTOPTA_ZE_22800;我马上给 [Root.Liege.GetHerHim] 写封信来提议！;Je devrais lui faire parvenir une lettre afin de lui proposer mes services?;Ich werde [Root.Liege.GetHerHim] einen Brief mit dem Angebot meiner Dienste zusenden!;;Root.Liege.GetHerHim] escribir?una carta ofreciendo mis servicios!;;;;;;;;;x
EVTOPTB_ZE_22800;不值得我这样做。;莂 n'en vaut pas la peine.;Das ist es nicht wert.;;No vale la pena.;;;;;;;;;x
EVTDESC_ZE_22801;致我的领主，[GetFromRootCompliment] [Root.GetFirstName]，\n我有个念头挥之不去。您的指挥官们缺少一些正规的战术训练。我提议由我来教给 [commander_one.GetFirstName]，[commander_two.GetFirstName] 和 [commander_three.GetFirstName] 一些优秀的战场策略！\n\n此致，\n[From.GetTitledName];M[Root.Liege.GetHerHis] [Root.Liege.GetLordLady],\nIl n'a pas 閏happ??mon attention que nombre de vos commandants sont peu vers閟 dans l'art des tactiques militaires. Je souhaite proposer mes services afin d'entra頽er [commander_one.GetFirstName], [commander_two.GetFirstName] et [commander_three.GetFirstName] ?l'usage de stratag鑝es avanc閟 sur le champ de bataille?\n\nAvec mes respectueux hommages,\n[From.GetTitledName];An [Root.GetFirstName],\n\nes ist mir nicht entgangen, dass viele Eurer Befehlshaber ein formales Training in milit鋜ischen Taktiken entbehren. Ich m鯿hte meine Dienste zum Training von [commander_one.GetFirstName], [commander_two.GetFirstName] und [commander_three.GetFirstName] im Einsatz fortgeschrittener Kriegslisten auf dem Schlachtfeld anbieten!\n\nVoller Hochachtung,\n[From.GetTitledName];;A mi se駉r, [GetFromRootCompliment] [Root.GetFirstName],\n\nNo ha escapado me que varios de sus comandantes carecen de formaci髇 en t醕ticas militares. e gustar韆 ofrecer mis servicios para adiestrar a [commander_one.GetFirstName], [commander_two.GetFirstName] y [commander_three.GetFirstName] en el uso de estratagemas del campo de batalla avanzadas!\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22801;非常慷慨的提议，我会因此欠下 [From.GetHerHim] 一份人情！;Je lui suis redevable pour cette offre g閚閞euse?;Ein 鋟遝rst gro遺黦iges Angebot, ich bin [From.GetHerHim] zu Dank verpflichtet!;;na oferta generosa en extremo, From.GetHerHim] deber?mucho!;;;;;;;;;x
EVTOPTB_ZE_22801;不！ [From.GetSheHeCap] 只是在我和讨价还价！;[From.GetSheHeCap] essaie simplement de m'avoir ?sa botte?;Nein! [From.GetSheHeCap] m鯿hte nur den Einfluss auf mich erh鰄en!;;o! From.GetSheHeCap] s髄o trata de ganar influencia sobre m?;;;;;;;;;x
EVTDESC_ZE_22802;致我忠诚的臣子， [GetFromRootCompliment] [Root.GetFirstName]，\n\n您的提议非常慷慨！我欣然接受您的提议，在将来我会记住您这份功绩。\n\n此致，\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'accepte gracieusement votre offre g閚閞euse et n'oublierai pas cette bonne action.\n\nAvec mes hommages,\n[From.GetTitledName];An meinen loyalen Untertan, [Root.GetFirstName],\n\nEuer Angebot ist sehr gro遺黦ig! Ich nehme Euer Angebot gerne in Anspruch und werde Euch diese gute Tat nicht vergessen.\n\nGezeichnet,\n[From.GetTitledName];;A mi s鷅dito leal, [GetFromRootCompliment] [Root.GetFirstName],\n\nu oferta es de lo m醩 generosa! Graciosamente acepto tu oferta y recordar?esta buena acci髇 en el futuro.\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22802;棒极了！现在我可以利用 [From.GetHerHim] 了……;Parfait? Je jouis d閟ormais d'une certaine influence sur [From.GetHerselfHimself]...;Ausgezeichnet. Mein Einfluss w鋍hst ...;;xcelente! Ahora tengo influencia sobre [From.GetHerHim]...;;;;;;;;;x
EVTDESC_ZE_22803;致我的臣子，[GetFromRootInsult] [Root.GetFirstName]，\n\n你的提议是赤裸裸的欺诈。你竟然认为我的指挥官们不称职！这是对他们的无耻污蔑。\n\n此致，\n[From.GetTitledName];?mon sujet [Root.GetFirstName], esp鑓e de [GetFromRootInsultNounAdj],\n\nVotre offre sournoise ne trompe personne. Insinuer que mes commandants ne m閞itent pas leur grade est une insulte?\n\nCordialement,\n[From.GetTitledName];An meinen Untertan, die Ratte [Root.GetFirstName],\n\nEuer Angebot ist nichts weiter als schlecht getarnte T鋟schung. Dass Ihr es wagt, anzudeuten, meine Befehlshaber seien nicht die Besten, ist eine Beleidigung!\n\nGezeichnet,\n[From.GetTitledName];;A mi s鷅dito, [GetFromRootInsult] [Root.GetFirstName],\n\n Tu oferta no es obviamente m醩 que enga駉 velado. ugerir que mis comandantes no son los mejores es un insulto!\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22803;这个结果不是我想要的！;Ce n'est pas ce ?quoi je m'attendais?;Das habe ich nicht beabsichtigt!;;o pensaba que ocurrir韆 esto!;;;;;;;;;x
EVTOPTA_ZE_13620;诚实，如果可以的话。;莂 a le m閞ite d'阾re honn阾e, au moins.;Ehrlichkeit und nichts anderes.;;Honestidad ante todo.;;;;;;;;;x
EVTOPTB_ZE_13620;善于交际是关键。;Le savoir-vivre est la clef.;Kontaktfreudigkeit ist der Schl黶sel.;;Ser sociable es clave.;;;;;;;;;x
EVTOPTA_ZE_13621;展现勇气以激励他人。;Votre bravoure inspire les autres.;Zeigt Tapferkeit, um andere zu inspirieren.;;Muestra la valent韆 para inspirar a otros.;;;;;;;;;x
EVTOPTB_ZE_13621;我会使 [From.GetHerHim] 坚强起来……;Je vais devoir l'endurcir...;Ich muss [From.GetHerHim] abh鋜ten ...;;Tendr?que endurecer[From.GetHerHim]...;;;;;;;;;x
EVTOPTA_ZE_13622;平等对待一切。;蓂uit?pour tous.;Behandelt alle gleich.;;Tratar a todos como iguales.;;;;;;;;;x
EVTOPTB_ZE_13622;自制，让生活得到节制。;Retenue et mod閞ation, un art de vivre.;Zur點khaltung, ein moderates Leben.;;Dominio de uno mismo, una vida de moderaci髇.;;;;;;;;;x
EVTOPTA_ZE_13623;知识就是别人不需要的力量;Le savoir est une arme dont les autres n'ont que faire.;Wissen ist Macht, die andere nicht brauchen.;;Conocimiento es poder, que otros no necesitan.;;;;;;;;;x
EVTOPTB_ZE_13623;其他人可能会欺骗你。;D'autres essaieront de vous duper.;Andere werden versuchen, Euch reinzulegen.;;Otros pueden tratar de enga馻rte.;;;;;;;;;x
EVTOPTA_ZE_13624;知识就是力量，学习永不止步。;Le savoir est une arme qui gagne sans cesse en puissance.;Wissen ist Macht, lerne stets Neues.;;El conocimiento es el poder, siempre aprenda m醩.;;;;;;;;;x
EVTOPTB_ZE_13624;不要被性欲扰乱心智。;La luxure ne doit pas vous distraire.;Lasst Euch nicht von der Lust ablenken.;;Que la lujuria no te distraiga.;;;;;;;;;x
EVTOPTA_ZE_13625;[From.GetSheHeCap] 应该追求伟大！去追寻它吧！;[From.GetSheHeCap] m閞ite la grandeur, alors qu'[From.GetSheHe] l'obtienne?;[From.GetSheHeCap] verdient wahre Gr鲞e. Auf gehts!;;[From.GetSheHeCap]merece grandeza.  por ella!;;;;;;;;;x
EVTOPTB_ZE_13625;为人周密，使他人依靠你。;Faire preuve de rigueur, se rendre indispensable.;Seid gewissenhaft, lasst andere auf Euch z鋒len.;;Ser minucioso, hacer que los dem醩 cuenten contigo;;;;;;;;;x
EVTOPTC_ZE_13625;学会伺机而动。;Agir au moment opportun.;Macht Euren Zug zur rechten Zeit.;;Hacer tus movimientos en el momento adecuado.;;;;;;;;;x
obj_groom_an_heir_title;培养一个继承人;Pr閜arer la succession;Einen Erben heranziehen;;Preparar un heredero;;;;;;;;;x
obj_groom_an_heir_desc;[This.GetTitledFirstName] 想拥有一个儿子并把他养大。\n\n如果 [This.GetFirstName] 的继承法是男女平等?，培养儿子或女儿都可以完成这个野心。\n\n选择这个野心时，生育能力? 会增加 20%?。;[This.GetTitledFirstName] veut un h閞itier m鈒e qui puisse atteindre l'鈍e adulte.\n\nSi la loi de succession de [This.GetFirstName] est cognatique?, un enfant gar鏾n ou fille satisfera cette ambition.\n\nTant que cette ambition est active, la fertilit椐! est augment閑 de 20%?.;[This.GetTitledFirstName] w黱scht sich einen Sohn, der das Erwachsenenalter erreicht.\n\nWenn das Erbfolge-Gesetz von [This.GetFirstName] Kognatische Primogenitur? ist, so werden sowohl ein Sohn als auch eine Tochter die Bedingungen zur Nachfolge erf黮len.\n\nW鋒rend diese Ambition aktiv ist, wird die Fruchtbarkeit? um 20%? erh鰄t.;;[This.GetTitledFirstName] quiere tener un hijo var髇 y verlo alcanzar edad adulta. \n\nSi la ley de la sucesi髇 de [This.GetFirstName] es 'Absoluta consangu韓ea?' criar a un hijo o una hija satisfar?su ambici髇. \n\nMientras esta ambici髇 est?activa, la Fertilidad? aumentar?un 20%?.;;;;;;;;;x
opinion_boost_child;[Root.GetFullName]? 的成年孩子对 [Root.GetHerHim] 的好感增加 15? ，持续 240个月?！\n;Augmente l'opinion de l'enfant adulte de [Root.GetFullName]? envers [Root.GetHerselfHimself] de 15? pendant 240 mois??\n;Verbessert die Meinung des erwachsenen Kindes von [Root.GetFullName]? zu [Root.GetHerHim] um 15? f黵 240 Monate?!\n;;umenta la opini髇 del hijo adulto de [Root.GetFullName] hacia [Root.GetHerHim] en 15? durante 240 meses?! \n\n;;;;;;;;;x
introduce_heir;向封臣引见继承人;Pr閟enter l'h閞itier au royaume;Dem Reich den Erben vorstellen;;Presentar heredero al Reino;;;;;;;;;x
introduce_heir_named;向封臣引见继承人;Pr閟enter l'h閞itier au royaume;Dem Reich den Erben vorstellen;;Presentar heredero al Reino;;;;;;;;;x
introduce_heir_desc;你的继承人就要成年了，把他（她）引见给你辖下的封臣们。这可以帮助他们建立信任，将来会大有帮助。;Lorsque l'h閞itier atteint l'鈍e de sa maturit? vous pouvez le pr閟enter officiellement aux vassaux du royaume. Vous renforcerez ainsi des rapports de confiance qui seront utiles ?l'enfant dans l'avenir.;Euer Nachfolger erreicht bald das Alter, um ihn oder sie den Vasallen des Reiches offiziell vorzustellen. Dies kann helfen, Vertrauen aufzubauen und dem Kind in Zukunft sicher n黷zlich sein.;;Ahora que tu heredero pronto alcanzar?su edad puedes elegir presentarle formalmente a los vasallos del reino. Esto puede ayudar a construir la confianza que ciertamente ser?鷗il para el ni駉 en el futuro.;;;;;;;;;x
introduce_heir_custom_tooltip;发出请柬;Envoyez les invitations.;Versendet die Einladungen.;;Enviar las invitaciones.;;;;;;;;;x
EVTDESC_ZE_22900;你邀请你的封臣前来介绍你的继承人, [introduced_heir.GetTitledFirstName]. [introduced_heir.GetSheHeCap] 将以继承人的身份与他人交流, 年轻的 [introduced_heir.GetHerHim] 可能不太喜欢这样的场合. 但是, 你相信 [introduced_heir.GetSheHe] 不会让你失望!;Vous avez convi?vos vassaux ?la pr閟entation officielle de votre h閞itier, [introduced_heir.GetTitledFirstName]. [introduced_heir.GetSheHeCap] va devoir faire preuve d'閘oquence et suivre ?la lettre le protocole, une obligation pesante pour une personne de son 鈍e. Mais vous ne doutez pas qu'[introduced_heir.GetSheHe] se montrera ?la hauteur de cette t鈉he?;Ihr habt Eure Vasallen eingeladen, an einem offiziellen Empfang zur Vorstellung Eures Erben [introduced_heir.GetTitledFirstName] teilzunehmen. [introduced_heir.GetSheHeCap] wird viele H鰂lichkeiten austauschen und ein formales Auftreten zeigen m黶sen, was sicherlich f黵 jemanden, der noch so jung ist wie [introduced_heir.GetSheHe], erm黡end sein kann. Ihr habt jedoch vollstes Vertrauen, dass [introduced_heir.GetSheHe] Euch nicht entt鋟schen wird.;;Has invitado a tus vasallos a tomar parte presentaci髇 formal de tu heredero, [introduced_heir.GetTitledFirstName]. [introduced_heir.GetSheHeCap] tendr?que intercambiar muchos cumplidos y actuar de una manera muy formal, algo que puede ser pesado para alguien tan joven como [introduced_heir.GetHerHim]. in embargo, est醩 completamente confiado que [introduced_heir.GetSheHe] no te decepcionar?;;;;;;;;;x
EVTOPTA_ZE_22900;他们马上就会来了！;Ils seront bient魌 l酄!;Sie werden bald hier sein!;;uy pronto llegar醤!;;;;;;;;;x
EVTDESC_ZE_22901;你的最后一个封臣离开了，看起来 [introduced_heir.GetTitledFirstName] 终于解脱了。显然 [introduced_heir.GetSheHeCap] 因拘谨礼节而筋疲力尽，但是希望像这样一个个引见 [introduced_heir.GetHerHim] 能够对将来有帮助！;Vos derniers vassaux sont enfin partis et [introduced_heir.GetTitledFirstName] peut enfin respirer. Toutes ces formalit閟 sont fastidieuses, mais cette pr閟entation officielle sera utile pour son avenir?;Die letzten Eurer Vasallen sind gegangen und [introduced_heir.GetTitledFirstName] wirkt sehr erleichtert. [introduced_heir.GetSheHeCap] wirkt ersch鰌ft von all den Formalit鋞en, doch dieser offizielle Auftritt wird [introduced_heir.GetHerHim] sicherlich in Zukunft noch n黷zlich sein!;;El 鷏timo de tus vasallos se ha ido y [introduced_heir.GetTitledFirstName] parece sentir alivio. [introduced_heir.GetSheHeCap] est?obviamente agotado de todas las formalidades, ero haberlo presentado as?seguramente [introduced_heir.GetHerHim] venga bien en el futuro!;;;;;;;;;x
EVTOPTA_ZE_22901;我已经尽全力去把 [introduced_heir.GetHerHim] 培养成一个合格的继承人了。;J'ai fait de mon mieux pour [introduced_heir.GetHerHim] pr閜arer ?son h閞itage.;Ich habe mein Bestes gegeben, damit das Kind ein w黵devoller Nachfolger wird.;;He hecho lo mejor para preparar[introduced_heir.GetHerHim]  como un digno heredero.;;;;;;;;;x
groomed_to_perfection;培养完成;La rel鑦e est fin pr阾e;Zur Perfektion erzogen;;Preparado a la Perfecci髇;;;;;;;;;x
EVTDESC_ZE_22902;[vassal_teacher.GetBestName] 在你的封臣里以博学多才赫赫有名. 在介绍 [vassal_teacher.GetHerselfHimself] 给 [introduced_heir.GetFirstName] 之后, [vassal_teacher.GetFirstName] 跟你提议. [vassal_teacher.GetFirstName] 愿意花一段时间教给 [introduced_heir.GetFirstName] 一些关于 [Root.Religion.GetScriptureName] 更加深奥的部分 这样可以增进你对他的好感.;[vassal_teacher.GetBestName] est un vassal r閜ut?pour sa loyaut?et son talent. Apr鑣 son introduction aupr鑣 de [introduced_heir.GetFirstName], [vassal_teacher.GetFirstName] vous fait une offre. [vassal_teacher.GetFirstName] propose de passer du temps pour enseigner ?[introduced_heir.GetFirstName] les myst鑢es se trouvant dans [Root.Religion.GetScriptureName] en 閏hange d'une faveur.;[vassal_teacher.GetBestName] ist ein frommer und gebildeter Vasall von Euch. Nachdem [vassal_teacher.GetSheHe] sich [introduced_heir.GetFirstName] vorgestellt hat, macht Euch [vassal_teacher.GetFirstName] ein Angebot. [vassal_teacher.GetFirstName] ist gewillt, [introduced_heir.GetFirstName] detaillierter in [Root.Religion.GetScriptureName] einzuweisen, wenn Ihr Eure Gunst gew鋒rt.;;[vassal_teacher.GetBestName] es un vasallo tuyo santo y docto de renombre. Despu閟 de presentarse [vassal_teacher.GetHerselfHimself] a [introduced_heir.GetFirstName], [vassal_teacher.GetFirstName] se acerca a ti con una oferta. [vassal_teacher.GetFirstName] est?dispuesto a pasar una cierto tiempo ense馻ndo a [introduced_heir.GetFirstName] algunas de las partes m醩 intrincadas de [Root.Religion.GetScriptureName] a cambio de tu favor.;;;;;;;;;x
EVTOPTA_ZE_22902;我可以为 [introduced_heir.GetTitledFirstName] 做任何事!;Je ferais n'importe quoi pour [introduced_heir.GetTitledFirstName]?;Ich mache alles f黵 [introduced_heir.GetTitledFirstName]!;;ualquier cosa por [introduced_heir.GetTitledFirstName]!;;;;;;;;;x
EVTOPTB_ZE_22902;没有必要.;Je n'en vois pas l'int閞阾.;Das ist unn鰐ig.;;No hay necesidad de eso.;;;;;;;;;x
EVTDESC_ZE_22903;当 [introduced_heir.GetFirstName] 介绍 [introduced_heir.GetHerselfHimself] 给 [compliment_vassal.GetBestName] 的时候  [introduced_heir.GetSheHe] 不止优雅地介绍了 [introduced_heir.GetHerselfHimself] , 也成功地令 [compliment_vassal.GetFirstName] 印象深刻 通过有技巧地向 [compliment_vassal.GetHerHim] 拍马屁!;Lors de sa pr閟entation aupr鑣 de [compliment_vassal.GetBestName], [introduced_heir.GetFirstName] fait non seulement preuve d'閘oquence, mais r閡ssit m阭e ?impressionner [compliment_vassal.GetFirstName] ?l'aide d'habiles compliments?;Nachdem [introduced_heir.GetFirstName] sich [compliment_vassal.GetBestName] vorgestellt hat, pr鋝entiert [introduced_heir.GetSheHe] sich mit W黵de und hinterl鋝st bei [compliment_vassal.GetFirstName] einen guten Eindruck durch gut platzierte Komplimente!;;Cuando [introduced_heir.GetFirstName] se presenta a [introduced_heir.GetHerselfHimself] [compliment_vassal.GetBestName] [introduced_heir.GetSheHe] o s髄o se presenta a [introduced_heir.GetHerselfHimself] con gracia, sino tambi閚 consigue impresionar a [compliment_vassal.GetFirstName] halag醤do[compliment_vassal.GetHerHim] con habilidad!;;;;;;;;;x
EVTOPTA_ZE_22903;我教给 [introduced_heir.GetHerHim] 一切 [introduced_heir.GetSheHe] 所知道的!;Je lui ai appris tout ce qu'[introduced_heir.GetSheHe] sait?;Alles, was [introduced_heir.GetSheHe] wei? hat [introduced_heir.GetSheHe] von mir gelernt!;;o [introduced_heir.GetHerHim] ense耖 todo lo que [introduced_heir.GetSheHe] sabe!;;;;;;;;;x
EVTDESC_ZE_22904;当 [introduced_heir.GetFirstName] 介绍 [introduced_heir.GetHerselfHimself] 给 [insult_vassal.GetBestName] 的时候 [introduced_heir.GetSheHe] 不仅不小心把饮料撒到 [insult_vassal.GetFirstName] 的鞋子上, 还冒犯了 [insult_vassal.GetFirstName] 所有的祖先!;Alors qu'[introduced_heir.GetSheHe] se pr閟entait ?[insult_vassal.GetBestName], [introduced_heir.GetFirstName] a r閡ssi, en plus de renverser accidentellement une boisson sur les chaussures de [insult_vassal.GetFirstName], ?insulter tous ses anc阾res?;Nachdem [introduced_heir.GetFirstName] sich [insult_vassal.GetBestName] vorgestellt hat, pr鋝entiert [introduced_heir.GetSheHe] sich leider durch versehentlich auf die Schuhe von [insult_vassal.GetFirstName] versch黷tete Getr鋘ke und schafft es doch tats鋍hlich, ALLE Verwandten von [insult_vassal.GetFirstName] zu beleidigen!;;Cuando [introduced_heir.GetFirstName] se presenta a [introduced_heir.GetHerselfHimself] [insult_vassal.GetBestName] [introduced_heir.GetSheHe] no s髄o derrama accidentalmente una bebida en los zapatos de [insult_vassal.GetFirstName], ino que tambi閚 consigue insultar a TODOS los antepasados de [insult_vassal.GetFirstName]!;;;;;;;;;x
EVTOPTA_ZE_22904;这熊孩子糟透了!;L'enfant est une calamit闋!;Dieses Kind ist noch mein Untergang!;;ste cr韔 es un desastre!;;;;;;;;;x
EVTDESC_ZE_22905;看上去好像 [introduced_heir.GetFirstName] 开始跟一个来访封臣的小孩相处的非常融洽 ! 毫无疑问, 很显然 [introduced_heir.GetFirstName] 和 [befriended_child.GetBestName] 很快成了好朋友.;[introduced_heir.GetFirstName] s'entend ?merveille avec l'un des enfants d'un vassal en visite? L'amiti?entre [introduced_heir.GetFirstName] et [befriended_child.GetBestName] semble na顃re rapidement.;Wie es scheint, kommt [introduced_heir.GetFirstName] sehr gut mit dem Kind eines Vasallen auf Besuch zurecht. [introduced_heir.GetFirstName] und [befriended_child.GetBestName] scheinen sogar Freunde zu werden.;;arece como si [introduced_heir.GetFirstName] ha comenzado a llevarse incre韇lemente bien con el ni駉 de uno de los vasallos que me visitaban! De hecho, al parecer [introduced_heir.GetFirstName] y [befriended_child.GetBestName] se han hecho amigos r醦idamente.;;;;;;;;;x
EVTOPTA_ZE_22905;真不错!;C'est merveilleux?;Wie wundervoll!;;u?encantador!;;;;;;;;;x
