;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
EVTDESC91355;我的 [GetFromRelation] [From.GetTitledFirstName] 没有就此罢休. [From.GetSubjectPronounCap]不断要教我教人, 要我洁身自爱. 因我灵, 我族, 我主之名, 我必须有所回应.;M[From.GetHerHis] [GetFromRelation], [From.GetTitledFirstName], refuse de se calmer. [From.GetSubjectPronounCap] utilise des arguments tr鑣 persuasifs pour me raisonner et me faire abandonner mes d閟irs interdits et haram. Pour le salut de mon 鈓e, de ma dynastie et de ma religion, je dois me repentir.;Mein [GetFromRelation] [From.GetTitledFirstName] wird nicht einfach aufgeben. [From.GetSubjectPronounCap] bringt einige h鯿hst 黚erzeugende Argumente, warum ich meine verbotenenen Haramw黱sche aufgeben sollte. F黵 das Wohl meiner Seele, meiner Dynastie und meiner Religion - ich muss Bu遝 tun.;;Mi [GetFromRelation] [From.GetTitledFirstName] no se rinde. [From.GetSubjectPronounCap] argumenta persuasivamente por qu?debo sobreponerme a mis deseos haram prohibidos. Por el bien de mi alma, mi dinast韆 y mi religi髇, he de arrepentirme.;;;;;;;;;x
EVTOPTA91355;我知道, 我是如此软弱!;Je suis faible, je le sais bien. Trop faible?;Ich wei? ich bin schwach. Zu schwach!;;?que soy d閎il, DEMASIADO!;;;;;;;;;x
EVTOPTB91355;无论如何, 我都要走过这窄门.;J'emprunterai ce chemin 閠roit, m阭e si c'est difficile.;Obschon es schwer ist, werde ich den Pfad der Tugend gehen.;;Aunque es duro, he de andar el camino acotado.;;;;;;;;;x
EVTDESC91356;我真是没法打救我那颓废的 [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] 实在又软弱又昏庸, 根本是没救了!;Je n'arrive vraiment pas ?convaincre notre [GetFromRelation] [From.GetFirstName], c'est ?d閟esp閞er? [From.GetSubjectPronounCap] est simplement trop faible... Et quelle obstination?;Ich komme einfach nicht zu [GetFromRelation] [From.GetFirstName] durchdringen! [From.GetSubjectPronounCap] ist einfach zu schwach und eigensinnig.;;o puedo llegar a mi perezoso [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] es demasiado d閎il y obstinado.;;;;;;;;;x
EVTDESC91357;我的 [GetFromRelation] [From.GetBestName] 终于明白 [From.GetSubjectPronoun] 生活得如此颓废, 并向我保证 [From.GetSubjectPronoun] 从此洗心革面, 回归 [From.GetPossPronoun] 正轨.;M[From.GetHerHis] [GetFromRelation] [From.GetBestName] comprend que sa vie est du c魌?haram et m'a promis de grands changements dans son attitude.;Mein [GetFromRelation] [From.GetBestName] versteht jetzt, dass [From.GetSubjectPronoun] ein Leben in Haram lebt. [From.GetSubjectPronoun] versichert mir, dass [From.GetSubjectPronoun] sich 鋘dern wird.;;Mi [GetFromRelation] [From.GetBestName] comprende que vive una vida de haram, y me ha asegurado que [From.GetSubjectPronoun] est?mentalizado para cambiar sus costumbres.;;;;;;;;;x
EVTDESC91360;我的 [GetFromRelation] [From.GetTitledFirstName] 劝说我摒弃犯禁, 远离罪行. [From.GetSubjectPronounCap] 就像一个穆夫提一样引用古兰经和圣训的经文, 警告我来世会因宣淫犯禁而堕入地狱的永火中...;M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] revient ?la charge pour me convaincre d'abandonner mes d閟irs interdits et haram. [From.GetSubjectPronounCap] cite le Coran et les Hadith comme un mufti et me menace des feux de la G閔ennem apr鑣 ma mort...;Mein [GetFromRelation] [From.GetTitledFirstName] versucht erneut mich zu 黚erzeugen, meine verbotenen Haramw黱sche aufzugeben. [From.GetSubjectPronounCap] zitiert den Koran und die Hadithe gleich einem Mufti und droht mir mit den Feuern Gehennas im Nachleben...;;Mi [GetFromRelation] [From.GetTitledFirstName] ha vuelto para persuadirme de abandonar mis prohibidos deseos haram. [From.GetSubjectPronounCap] cita el Cor醤 y los Hadiz como un muft?y me amenaza con los fuegos del Yahannam en la otra vida...;;;;;;;;;x
EVTOPTA91360;我看起来是个善男信女吗?;J'ai vraiment l'air de croire ?tout 鏰?;Sehe ich aus wie ein Gl鋟biger?;;縋arezco un creyente?;;;;;;;;;x
EVTOPTB91360;我要加入拜克塔什教团苦修!;Je dois rejoindre les Bektachis?;ich werde den Bektashi beitreten!;;e unir?a la Bektashi!;;;;;;;;;x
EVTOPTC91360;我要加入阿萨辛组织赎罪!;Je dois rejoindre les Assassins?;Ich werde den Hashshashim beitreten!;;ebo unirme a los Nizar韊s!;;;;;;;;;x
EVTOPTD91360;我要去麦加朝觐!;Je dois accomplir le hajj ?La Mecque?;Ich werde auf Haddsch nach Mecca gehen!;;ebo ir en Hajj a la Meca!;;;;;;;;;x
EVTOPTE91360;我要去作天课!;Je dois donner de l'argent ?une bonne 渦vre?;Ich werde wohlt鋞ig Geld spenden!;;onar?dinero a la caridad!;;;;;;;;;x
EVTDESC91361;我殷切的教诲终于感化我的 [GetFromRelation] [From.GetTitledFirstName]. [From.GetSubjectPronounCap] 决定要加入教团, 以便待奉真主!;M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a fondu en larme sous l'閙otion face ?mes exhortations. [From.GetSubjectPronounCap] rejoindra un ordre sacr?afin de servir Allah au mieux?;Mein [GetFromRelation] [From.GetTitledFirstName] war von meinen Ausf黨rungen zu Tr鋘en ger黨rt. [From.GetSubjectPronounCap] wird einem heiligen Orden beitreten und Allah dienen!;;Mi [GetFromRelation] [From.GetTitledFirstName] ech?a llorar por mis ardientes exhortaciones. From.GetSubjectPronounCap] se unir?a una orden sagrada para servir mejor a Ala!;;;;;;;;;x
EVTOPTA91361;[From.GetSubjectPronounCap] 真令我自豪!;[From.GetSubjectPronounCap] me remplit de fiert闋!;[From.GetSubjectPronounCap] macht mich stolz!;;e enorgullezco de [From.GetSubjectPronoun]!;;;;;;;;;x
EVTDESC91362;我殷切的教诲终于感化我的 [GetFromRelation] [From.GetTitledFirstName], 他决定马上出发到圣地朝觐, 净化心灵.;M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a fondu en larmes face ?mes exhortations enflamm閑s et a imm閐iatement amorc?son hajj ?La Mecque.;Mein [GetFromRelation] [From.GetTitledFirstName] war von meinen Ausf黨rungen zu Tr鋘en ger黨rt  und ist sofort zur heiligen Pilgerschaft nach Mecca - dem Haddsch - aufgebrochen.;;Mi [GetFromRelation] [From.GetTitledFirstName] ech?a llorar por mis ardientes exhortaciones y parti?inmediatamente en sagrada peregrinaci髇 a la Meca - el Hajj.;;;;;;;;;x
EVTOPTA91362;多么虔诚!;Pieuse d閏ision?;Eine fromme Wahl!;;na elecci髇 piadosa!;;;;;;;;;x
EVTDESC91363;我坚定的信仰感化了我的 [GetFromRelation] [From.GetTitledFirstName]. [From.GetPossPronoun] 不但洗心革面, 更成为慷慨的大慈善家.;M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a c閐?face ?la force de mes arguments remplis de foi et m'a promis de changer son comportement, en commen鏰nt par une g閚閞euse aum鬾e aux pauvres.;Mein [GetFromRelation] [From.GetTitledFirstName] wurde von der St鋜ke meiner frommen Argumente bewegt und versprach, [From.GetPossPronoun] Lebenswandel zu 鋘dern, beginnend mit gro遺黦igen Spenden.;;Mi [GetFromRelation] [From.GetTitledFirstName], movido por la fuerza de mis piadosos argumentos, ha prometido reformar sus costumbres, comenzando con una generosa donaci髇 a la caridad.;;;;;;;;;x
EVTOPTA91363;[From.GetObjectPronoun] 有希望了!;Il y a encore de l'espoir pour [From.GetHerselfHimself]?;Es gibt noch Hoffnung f黵 [From.GetObjectPronoun]!;;鷑 hay esperanza para [From.GetObjectPronoun]!;;;;;;;;;x
EVTDESC91365;一股恶臭令我从睡梦中惊醒, 我发现房间里堆满了猪和狗的腐尸. 当我恍惚地步出房门, 一个阴影窜出, 一刀抵住我的喉咙, 轻语道: '这就是你生活的真实模样, 感受死亡的可怕吧......'说完然后就消失得无影无踪!;J'ai 閠?r関eill?par une abominable puanteur et j'ai vu ma chambre emplie de carcasses de chiens et de cochons. Alors que je me dirigeais vers la porte en titubant, une ombre a surgi derri鑢e moi et a port?un couteau ?ma gorge en chuchotant: 珷Voil??quoi ressemble ta vie. Imagine ce qu'il en sera de ta mort...牷 avant de dispara顃re sans laisser de traces?;"Ich wurde durch furchtbaren Gestank geweckt und fand meinen Raum voller verwesender Kadaver von Hunden und Schweinen vor. Als ich durch die T黵 wankte, hielt eine vermummte Gestalt ein Messer an meinen Hals und fl黶terte: ""Dies ist Euer Leben. Stellt Euch Euren Tod vor..."" und verschwand spurlos.";;Un tremendo hedor me despert?y encontr?mi habitaci髇 llena de cad醰eres de perros y cerdos. Mientras me tambaleaba hacia la puerta, una figura sombr韆 rept?a mi espalda y, sosteniendo un cuchillo en mi garganta, susurr?'As?es tu vida. Imagina tu muerte...' ntes de desvanecerse!;;;;;;;;;x
EVTOPTA91365;[From.GetTitledFirstName] 这种小把戏是吓不倒我的!;[From.GetTitledFirstName] ne m'effraiera pas avec ses stratag鑝es?;[From.GetTitledFirstName] kann mir keine Angst einjagen!;;From.GetTitledFirstName] no me asustar?con pantomimas!;;;;;;;;;x
EVTOPTB91365;或许我应该收敛一下......;Je devrais peut-阾re me reprendre en main...;Vielleicht sollte ich mich bessern?;Puede que lo mejor sea enderezarse...;;;;;;;;;x
EVTOPTC91365;这太过份了, 人不是这样活的!;莂 va vraiment trop loin. La vie ne vaut pas la peine d'阾re v閏ue?;Das ist zu viel! Das Leben ist nicht lebenswert!;;Esto es demasiado. o merece la pena vivir!;;;;;;;;;x
EVTDESC91366;我给[GetFromRelation] [From.GetTitledFirstName]安排的那场不怎么好受的'觉悟活动'似乎作用不大, [From.GetSubjectPronoun] 依然固我, 死不悔改, 仍然在过 [From.GetPossPronoun] 那麋烂的生活, 继续令家族蒙羞.;J'ai organis?un 玶関eil?tr鑣 d閜laisant pour m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] qui m'a fait si honte, mais [From.GetSubjectPronoun] demeure obstin閙ent confit dans son h閐onisme et ma honte ne fait que cro顃re.;Ich arrangierte ein sehr unangenehmes 'Erwachen' f黵 meinen dekadenten [GetFromRelation] [From.GetTitledFirstName], doch [From.GetSubjectPronoun] bleibt stur [From.GetPossPronoun] Hedonismus treu und bringt weiter Schande 黚er unser Haus.;;He preparado un desagradable 'despertar' para mi decadente [GetFromRelation] [From.GetTitledFirstName], pero [From.GetSubjectPronoun] contin鷄 obcecado en su hedonismo, trayendo la verg黣nza a nuestra casa.;;;;;;;;;x
EVTDESC91367;我给[GetFromRelation] [From.GetTitledFirstName]安排的那场噩梦似乎奏效了, [From.GetPossPronoun] 吓得要死, 再也不胡作非为!;Le petit cauchemar que j'ai organis?semble avoir fait son effet sur m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName]. [From.GetSubjectPronoun] tremble litt閞alement de peur et a promis de renoncer ?son h閐onisme qui me fait si honte?;Der kleine Albtraum, den ich auff黨ren lie? scheint seine Wirkung auf meinen dekadenten [GetFromRelation] [From.GetTitledFirstName] zu zeigen. Voller Angst versprach er, [From.GetPossPronoun] schamlosen Hedonismus aufzugeben.;;La peque馻 pesadilla que he preparado parece haber funcionado con mi decadente [GetFromRelation] [From.GetTitledFirstName], ue tiene un susto de muerte y ha prometido poner fin a su vergonzoso hedonismo!;;;;;;;;;x
EVTDESC91368;我给[GetFromRelation] [From.GetTitledFirstName]安排的那场噩梦似乎太刺激了. [From.GetSubjectPronounCap] 决定跳出清规的牢笼, 一心一意背弃教门!;Il semble que le petit spectacle que j'ai pr閜ar?pour m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] la nuit derni鑢e soit all?un peu trop loin. [From.GetSubjectPronounCap] a choisi de se jeter du haut d'une tour plut魌 que de vivre en accord avec l'islam.;Der kleine Albtraum, den ich auff黨ren lie? war wohl ein wenig zu viel f黵 meinen dekadenten [GetFromRelation] [From.GetTitledFirstName]. Statt das rechtschaffene Leben des wahren Muslim zu leben, warf [From.GetSubjectPronounCap] sich lieber von einem Turm!;;Parece que el espect醕ulo nocturno que prepar?para mi decadente [GetFromRelation] [From.GetTitledFirstName] era demasiado. From.GetSubjectPronounCap] ha preferido saltar de una torre a llevar la vida recta de un verdadero musulm醤!;;;;;;;;;x
EVTOPTA91368;朽木不可雕!;Quelle honte? Bon d閎arras.;Wie sch鋘dlich! Aber guter Abgang.;;ergonzoso! Qu?alivio.;;;;;;;;;x
EVTTOOLTIP91351;叫 [This.GetFirstName] 注意言行!;Lui dire de s'occuper de ses affaires?;Sagt [This.GetFirstName], er soll sich um seine eigenen Angelegenheiten k黰mern!;;ecir a [This.GetFirstName] que se meta en lo suyo!;;;;;;;;;x
EVTTOOLTIP91352;向 [This.GetFirstName] 保证一定会改正行为!;Lui promettre de mener une vie vertueuse?;Versprecht [This.GetFirstName] ein rechtschaffenes Leben zu f黨ren!;;rometer a [This.GetFirstName] que llevar醩 una vida recta!;;;;;;;;;x
EVTTOOLTIP91355;尝试导 [This.GetFirstName] 向善;Tenter de mieux persuader [This.GetFirstName];Versucht erneut, [This.GetFirstName] zu 黚erzeugen;;Hacer un mejor intento de convencer a [This.GetFirstName];;;;;;;;;x
EVTTOOLTIP91360;给 [This.GetFirstName] 讲论真主的道理;Pr閟enter les meilleurs arguments religieux ?[This.GetFirstName];Pr鋝entiert [This.GetFirstName] religi鰏e Argumente ;;Presentar los mejores argumentos religiosos a [This.GetFirstName];;;;;;;;;x
EVTTOOLTIP91365;给 [This.GetFirstName] 安排一场 [From.GetPossPronoun] room;Pr閜arer une mise en sc鑞e macabre dans la chambre de [This.GetFirstName] pour l'effrayer;Arrangiert ein unangenehmes n鋍htliches Schauspiel, um [This.GetFirstName] zu ver鋘gstigen;;Montar una pantomima nocturna para asustar a [This.GetFirstName] en su habitaci髇;;;;;;;;;x
patron_shiva;守护神: 湿婆神;Divinit?protectrice? Shiva;Schutzgott: Shiva;;Deidad Protectora: Shiva;;;;;;;;;x
patron_vishnu;守护神: 毗湿奴;Divinit?protectrice? Vishnou;Schutzgott: Vishnu;;Deidad Protectora: Vishnu;;;;;;;;;x
patron_brahma;守护神: 大梵天;Divinit?protectrice? Brahma;Schutzgott: Brahma;;Deidad Protectora: Brahma;;;;;;;;;x
patron_kali;守护神: 时母神;Divinit?protectrice? Kali;Schutzgott: Kali;;Deidad Protectora: Kali;;;;;;;;;x
patron_ganesha;守护神: 欢喜天象头神;Divinit?protectrice? Ganesh;Schutzgott: Ganesha;;Deidad Protectora: Ganesha;;;;;;;;;x
patron_ganga;守护神: 恒河女神;Divinit?protectrice? Gang?Schutzgott: Ganga;;Deidad Protectora: Ganga;;;;;;;;;x
hold_tiger_hunt;举行猎虎大会;Organiser une chasse au tigre;Veranstaltet eine Tigerjagd;;Organizar una cacer韆 de tigres;;;;;;;;;x
hold_tiger_hunt_desc;猎虎大会不但是一种贵族风尚, 更是与封臣交好的机会, 也能顺便与他们讨论一下军国要事.;La chasse au tigre est non seulement un sport noble, mais 間alement une opportunit?de rencontrer vos vassaux, former avec eux des liens d'amiti?et discuter de sujets importants.;Tiger zu jagen ist nicht nur ein edler Sport, sondern auch eine Gelegenheit, Eure Vasallen zu treffen, Freundschaften zu schlie遝n und wichtige Gesch鋐te zu besprechen.;;La cacer韆 de tigres no es solo un noble deporte sino la ocasi髇 para encontrarte con tus vasallos, forjar lazos de amistad y hablar de importantes negocios.;;;;;;;;;x
;#indian_pilgrimage;;;;;;;;;;;;;;x;
;#indian_pilgrimage_desc;;;;;;;;;;;;;;x;
choose_hindu_patron_deity;选择守护神;Choisir une divinit?protectrice;W鋒lt einen Schutzgott.;;Elige una deidad protectora.;;;;;;;;;x
choose_hindu_patron_deity_desc;你可以在印度众神中, 选择供奉一位个人的守护神. 臣民会将你与神明联想在一起, 令朝廷某些方面的统治得以强化, 不过这往往会带来一些代价. 所以又会有人说, 面面俱到, 不去触怒任何一位才是明智的做法.;Vous pouvez choisir une divinit?protectrice pour vous-m阭e parmi les plus puissants dieux et d閑sses de l'hindouisme. On associera votre r鑗ne ?celui de cette divinit?et certains aspects de votre gouvernement seront renforc閟 en cons閝uence. Prenez garde cependant? d'autres domaines seront p閚alis閟. Il y a ceux qui disent qu'il vaut mieux rester neutre et ne froisser personne.;Ihr k鰊nt einen pers鰊lichen Schutzgott aus den m鋍htigsten der vielen G鰐ter des Hinduismus w鋒len. Das Volk wird Eure Herrschaft mit dieser Gottheit verbinden. Als Ergebnis werden einige Aspekte der Regierung gest鋜kt, doch stets zum Preis von  Nachteilen in anderen Aspekten. Einige meinen, es sei das Beste, neutral zu bleiben und niemanden zu ver鋜gern.;;Puedes elegir una deidad protectora de entre los m醩 poderosos de los muchos dioses y diosas de la fe Hind? La gente asociar?tu mandato con esa deidad y algunos aspectos del gobierno se fortalecer醤 por ello, aunque debes tener en cuenta que siempre supondr?un coste en otra 醨ea. Hay quien dice que es mejor mantenerse neutral y no enfadar a ninguno.;;;;;;;;;x
EVTDESC_RoI_100;三相神是三位主神, 我应该要供奉哪一位?;Il y a les trois dieux de la Trimurti, la Grande Trinit? Peut-阾re devrais-je choisir l'un d'eux comme divinit?protectrice?;Dies sind die G鰐ter der Trimurti, der Gro遝n Dreifaltigkeit. Vielleicht sollte ich einen von ihnen als Schutzgott w鋒len?;;Estos son los tres dioses del Tr韒urti, La Gran Trinidad. 縌uiz?debiera elegir uno como deidad protectora?;;;;;;;;;x
EVTOPTA_RoI_100;手持三叉戟, 公正的湿婆.;Le beau Shiva arm?de son trident.;Der gute Shiva mit Seinem Dreizack;;El Justo Shiva con Su tridente.;;;;;;;;;x
EVTOPTB_RoI_100;头戴王冠, 全能的毗湿奴.;Vishnou le Tout-Puissant et sa couronne.;Der allm鋍htige, gekr鰊te Vishnu;;El todopoderoso y coronado Vishnu.;;;;;;;;;x
EVTOPTC_RoI_100;四首四面, 威力的梵天.;Brahma aux quatre visages.;Der m鋍htige Brahma, Er mit den vier Gesichtern;;El poderoso Brahma, el de cuatro caras.;;;;;;;;;x
EVTOPTD_RoI_100;应该还有其他神......;Il existe 間alement d'autres puissantes divinit閟...;Es gibt noch andere m鋍htige G鰐ter?;Tambi閚 hay otras poderosas deidades...;;;;;;;;;x
EVTDESC_RoI_101;神明威力无穷, 遍布宇宙. 供奉其中一位, 祂便会赐福于我们家族.;Tous ces dieux et toutes ces d閑sses sont puissants. En choisir un comme divinit?protectrice serait le t閙oignage de la puissance de ma dynastie.;Dies sind allm鋍htige G鰐ter und G鰐tinnen. Einen von ihnen zu w鋒len w鋜e ein Zeugnis der Macht meiner Dynastie.;;Estas son las todopoderosas deidades. Elegir una de ellas como deidad protectora ser?un legado del poder de mi dinast韆.;;;;;;;;;x
EVTOPTA_RoI_101;降魔伏妖, 时光女神时母.;Kali la destructrice, d閑sse du temps.;Kali, der Schl鋍hter und H黷er der Zeit;;Kali, la asesina y agente del tiempo.;;;;;;;;;x
EVTOPTB_RoI_101;欢喜天, 破除一切障碍.;Ganesh, celui qui l鑦e les obstacles.;Ganesha, Beseitiger der Hindernisse;;Ganesha, eliminador de obst醕ulos.;;;;;;;;;x
EVTOPTC_RoI_101;恒河女神, 荡涤污秽.;Gang? la d閑sse des eaux, celle qui purifie.;Ganga von den Wassern, Sie die reinigt;;Ganga de las aguas, la que purifica.;;;;;;;;;x
EVTOPTD_RoI_101;转念一想, 我还是想要供奉三相神......;?la r閒lexion, je vais m'associer avec l'un des Trimurti...;Vielleicht sollte ich mich doch mit den Trimurti verbinden?;Pens醤dolo mejor, deber韆 asociarme con uno del Tr韒urti...;;;;;;;;;x
EVTDESC_RoI_10001;刚出生的[GetFromRelation] [From.GetFirstName]有一块和我[GetFromReincarnationRelation][From.Reincarnation.GetBestName]一样的奇怪胎记, 难道[From.Reincarnation.GetSubjectPronoun]转世成为我的[GetFromRelation]了?;M[From.GetHerHis] [GetFromRelation] [From.GetFirstName] et son 閠range marque de naissance me fait tellement penser ?notre [GetFromReincarnationRelation], [From.Reincarnation.GetBestName]. Se pourrait-il qu'[From.Reincarnation.GetSubjectPronoun] ait fait sa r閕ncarnation en m[From.GetHerHis] [GetFromRelation]?;Mein kleiner [GetFromRelation] [From.GetFirstName] hat ein seltsames Muttermal, welches dem von [GetFromReincarnationRelation] [From.Reincarnation.GetBestName] 鋒nelt. K鰊nte [From.Reincarnation.GetSubjectPronoun] als mein [GetFromRelation] in dieses Leben wiedergeboren sein?;;Mi peque駉 [GetFromRelation] [From.GetFirstName] tiene una extra馻 marca casi id閚tica a la de mi [GetFromReincarnationRelation], [From.Reincarnation.GetBestName]. 縋odr韆 [From.Reincarnation.GetSubjectPronoun] haber renacido como mi [GetFromRelation] en esta vida?;;;;;;;;;x
